treeID,Z,TreeSpecies,coords.x1,coords.x2,DBH,Biomass
423,12.43,3,294043.875,6808784.625,22.01989739,162.7765853
424,16.56,2,294831.125,6808784.625,32.01190685,390.3069548
425,10.51,3,295157.375,6808784.625,15.84543609,72.73946866
426,17.17,2,295181.875,6808784.625,34.54510898,460.9313089
427,2.41,2,294002.375,6808784.375,3.603247347,1.938920651
428,19.56,2,295012.875,6808784.375,47.64167593,876.4428471
429,20.24,2,295044.375,6808784.375,52.69715127,1050.257176
430,20.68,1,295051.375,6808784.375,32.69434547,525.7054279
431,19.98,2,295121.875,6808784.375,50.67207021,980.1355632
432,19.99,2,295125.625,6808784.375,50.74774458,982.7455237
433,15.65,1,295167.625,6808784.375,20.70016616,176.4804574
434,18.77,2,294814.375,6808784.125,42.62786412,709.6529241
435,10.63,2,294891.125,6808784.125,15.95168822,70.36077985
436,11.28,2,294908.625,6808784.125,17.21958068,85.97488345
437,2.77,2,293681.125,6808783.875,4.171206894,2.56327235
438,17.6,2,294612.875,6808783.875,36.49331432,517.9290538
439,16.77,3,294616.875,6808783.875,58.2038032,991.9830292
440,12.25,2,294695.375,6808783.875,19.27398146,115.0788754
441,18.69,2,295039.375,6808783.875,42.16361934,694.5999154
442,24.18,1,295056.375,6808783.875,46.44728935,1107.000734
443,18.63,2,295176.375,6808783.875,41.82019546,683.5144047
444,17.98,2,295034.625,6808783.625,38.34184435,573.9083951
